              DRT4 Data File V2.0
============================================================

1) Subject Information
Subject Name: 
Subject No: 
Date of Birth: 
Subject Address: 
Operator:  
Date: 16:21:02 (8/10/2025)
DRT4 Serial Number: #3173
Comment: 

2) Monitor Schedule
Indefinite monitoring until stopped by user
3) Display Configuration
Total Graph Number: 1 
Active Graph Number: 1 
Sampling Rate:   1/sec 
Time Constant: off 
Time Offset: 0.5 sec 
Time Offset: 0 sec 
Total Mark Number: 0 
Active Mark Number: 1 
No: 	Hour	Min	Sec	Label	Comment	Current	Heater1	Heater2



4) Trace Data
No: 	Hour 	Min 	Sec 	F1 	F2 
603	0	10	2	  4.5	  0.0 
604	0	10	3	  5.0	  0.0 
605	0	10	4	  4.1	  0.0 
606	0	10	5	  4.5	  0.0 
607	0	10	6	  3.2	  0.0 
608	0	10	7	  1.9	  0.0 
609	0	10	8	  4.7	  0.0 
610	0	10	9	  9.1	  0.0 
611	0	10	10	  7.2	  0.0 
612	0	10	11	  6.4	  0.0 
613	0	10	12	 22.7	  0.0 
614	0	10	13	  4.4	  0.0 
615	0	10	14	  5.2	  0.0 
616	0	10	15	  6.7	  0.0 
617	0	10	16	 20.4	  0.0 
618	0	10	17	 25.1	  0.0 
619	0	10	18	 54.7	  0.0 
620	0	10	19	 23.5	  0.0 
621	0	10	20	 35.3	  0.0 
622	0	10	21	 33.2	  0.0 
623	0	10	22	 30.0	  0.0 
624	0	10	23	 21.4	  0.0 
625	0	10	24	 16.7	  0.0 
626	0	10	25	 14.0	  0.0 
627	0	10	26	 26.1	  0.0 
628	0	10	27	 16.7	  0.0 
629	0	10	28	 20.7	  0.0 
630	0	10	29	 18.5	  0.0 
631	0	10	30	 25.5	  0.0 
632	0	10	31	 66.7	  0.0 
633	0	10	32	 55.9	  0.0 
634	0	10	33	 56.6	  0.0 
635	0	10	34	 36.8	  0.0 
636	0	10	35	 39.2	  0.0 
637	0	10	36	 22.9	  0.0 
638	0	10	37	 56.3	  0.0 
639	0	10	38	 34.8	  0.0 
